Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,Semi-empirical Kinetics Model for Fingerprint Aging,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IA,15PNIJ-24-GG-03855-MUMU,"$399,437",Open
2024,Spatial analysis of social vulnerability and crime disparities through interpretable machine learning,NIJ FY24 Graduate Research Fellowship,UNIVERSITY OF ILLINOIS,IL,15PNIJ-24-GG-01573-RESS,"$180,000",Open
2024,Statistical Foundations of Score-Based Methods in Forensic Identification of Source Problems”,NIJ FY24 Invited to Apply – Forensic Science for Criminal Justice Purposes Program,SOUTH DAKOTA STATE UNIVERSITY,SD,15PNIJ-23-GG-04232-MUMU,"$303,714",Open
2024,Strengthening Understanding of Peer Programs to Optimize Resources & Training (SUPPORT): Identifying critical elements of police peer support across career stages,NIJ FY24 Research and Evaluation of Policing Practices,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-02564-MUMU,"$1,167,336",Open
2024,The Consequences and Impacts of Hate Crime and Post-Victimization Experiences: The Longitudinal Hate Crime Victimization Survey (LHCVS),NIJ FY24 Research and Evaluation on Hate Crimes,FLORIDA STATE UNIVERSITY,FL,15PNIJ-24-GG-01917-RESS,"$942,512",Open
2024,The Development of a Peer Advocacy Intervention for Survivors whose Partners are in Relationship Violence Intervention Programs.,NIJ FY24 Research and Evaluation on Violence Against Women,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,MD,15PNIJ-24-GG-00986-REVA,"$838,966",Open
2024,"The Ecology of Resilience: Examining Impacts of Service Engagement, Facility Safety, and Trauma History on Positive Life Trajectories in Justice-Involved Youth",NIJ FY24 Graduate Research Fellowship,UNIVERSITY OF UTAH,UT,15PNIJ-24-GG-01580-RESS,"$88,304",Open
2024,The Impact of Processing and Sampling Procedures on the Integrity of Forensically Relevant Biomolecules in Bones,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,SAM HOUSTON STATE UNIVERSITY,TX,15PNIJ-24-GG-03841-SLFO,"$823,669",Open
2024,The Impacts of School Security Equipment on Students and Schools,NIJ FY24 Research and Evaluation on School Safety,GEORGE MASON UNIVERSITY,VA,15PNIJ-24-GG-01048-STOP,"$1,706,788",Open
2024,The potential of hybridization capture to permit species identification in challenging leathers,NIJ FY24 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,NORTH CAROLINA STATE UNIVERSITY,NC,15PNIJ-24-GG-01549-MUMU,"$232,857",Open
2024,"The relationship between participation in structured activities and health, safety and quality of life outcomes for prison residents and staff",NIJ FY24 Research and Evaluation on Corrections,THE CNA CORPORATION,VA,15PNIJ-24-GG-01087-FSAX,"$898,792",Open
2024,Understanding and Evaluating Police Bias Crime Unit Practice and Impact,NIJ FY24 Research and Evaluation on Hate Crimes,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-01913-RESS,"$908,415",Open
2024,Unwinding the Impact of Body Worn Camera Evidence on Prosecutor Workload,"NIJ FY24 Research and Evaluation on the Administration of Justice: Prosecution Practice, Justice, Case Tracking, and Workforce",THE JUSTICE MANAGEMENT INSTITUTE,VA,15PNIJ-24-GG-01793-RESS,"$612,685",Open
2024,Validating the ASB 122: Best Practice Recommendation for Performing Alcohol Calculations in Forensic Toxicology,NIJ FY24 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-24-GG-01546-RESS,"$676,376",Open
2024,What about us? Formative evaluation of forensic nursing program delivery of intimate partner violence medical forensic examinations,NIJ FY24 Research and Evaluation of Services for Victims of Crime,UNIVERSITY OF UTAH,UT,15PNIJ-24-GG-01741-NONF,"$575,200",Open
2023,"""Examining the Effects of Back-End Release Discretion on Prison Populations and Length of Stay: A State-by-State Analysis""",NIJ FY23 Research and Evaluation on Sentencing and Resentencing,REGENTS OF THE UNIVERSITY OF MINNESOTA,MN,15PNIJ-23-GG-04240-RESS,"$335,595",Open
2023,"21st Century Criminal Defense Practice: An Examination of the Impact of Holistic Defense in Wayne County, Michigan",NIJ FY23 Research and Evaluation on the Administration of Justice: Advancing Access to Justice 60 Years after Gideon,JUSTICE INNOVATION INC.,NY,15PNIJ-23-GG-02235-RESS,"$829,358",Open
2023,"911, What's Your Emergency?: Factors Impacting Call Coding",NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,UNIVERSITY OF CHICAGO,IL,15PNIJ-23-GG-01367-NIJB,"$500,000",Open
2023,A 28-year longitudinal study of victimization and perpetration of violence in high-risk youth: Advancing the development of preventive interventions in the community,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",NORTHWESTERN UNIVERSITY,IL,15PNIJ-23-GG-04269-CVIP,"$1,000,000",Open
2023,A Frame Analysis of Violence and Accelerationism in Cognitive Radicalization,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,YOUNGSTOWN STATE UNIVERSITY,OH,15PNIJ-23-GG-01382-DOMR,"$449,897",Open
2023,A longitudinal cohort mixed methods study of the impact of mental health on retention and turnover among early career police officers in South Carolina,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",UNIVERSITY OF SOUTH CAROLINA,SC,15PNIJ-23-GG-05499-RESS,"$1,000,000",Open
2023,A Micro-and Macro Evaluation of the Effectiveness of Extreme Risk Protection Orders in Colorado,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,THE REGENTS OF THE UNIV. OF COLORADO,CO,15PNIJ-23-GG-02401-MUMU,"$1,456,274",Open
2023,"A Mixed Methods Evaluation of the Impacts and Implementation of Florida's Risk Protection Order (RPO) Law, 2018-2023",NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02406-BSCI,"$700,224",Open
2023,A Mixed-Method Examination of the Effectiveness of Money Bail and other Pretrial Release Options,NIJ FY23 Research and Evaluation on Jails,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02233-NIJB,"$560,195",Open
2023,"A multilevel analysis of juvenile life without parole and its reform: understanding the people, places, and politics that shape policy.",NIJ FY23 Graduate Research Fellowship,NORTHWESTERN UNIVERSITY,IL,15PNIJ-23-GG-01952-TITL,"$166,500",Open
2023,A Nationwide Assessment of Jail Reentry Policies and Practices: A Two-Tiered Study of the Field,NIJ FY23 Research and Evaluation on Jails,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-02232-SCAX,"$599,986",Open
2023,"A Process, Adaptation, and Outcome Evaluation of San Gabriel Valley Crisis Assistance Response & Engagement (SGV CARE)","NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",THE RAND CORPORATION,CA,15PNIJ-23-GG-05494-RESS,"$573,536",Open
2023,"A randomized controlled trial of Co-response for Mental Health Calls for Service to the Police in Fort Collins, CO","NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",UNIVERSITY OF WYOMING,WY,15PNIJ-23-GG-05502-RESS,"$649,464",Open
2023,A Randomized Controlled Trial of the HeartMath Resilience Program: Exploring the Impact of Stress on Jail Staff Performance and Retention,NIJ FY23 Research and Evaluation on Jails,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02231-NIJB,"$498,491",Open
2023,A Statewide Mixed-methods Evaluation of Pennsylvania’s 8th Edition Sentencing Guidelines and their Impacts on Racial and Ethnic Disparities in Sentencing Outcomes,NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,DREXEL UNIVERSITY,PA,15PNIJ-23-GG-01365-NIJB,"$730,834",Open
2023,"A Whole Community Approach to Hate Crime Reduction: Research to Improve Prevention, Reporting, and Victim Support",NIJ FY23 Research and Evaluation on Hate Crimes,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-23-GG-05495-HATE,"$665,999",Open
2023,AAAS Science & Technology Policy Fellowships,,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,DC,2020-R2-CX-0009,"$300,000",Open
2023,ABCD Social Development (ABCD-SD),,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,2017-MU-CX-0044,"$1,900,000",Open
2023,"Accuracy, Efficacy, and Reproducibility of Muzzle-to-Target Distance Determination using Gunshot Residue",NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,"NOBLIS, INC.",VA,15PNIJ-23-GG-04222-MUMU,"$872,282",Open
2023,Accurate THC Determinations in Seized Cannabis-derived Finished Products for Forensic Laboratories,"Research  and Development in Forensic Science for Criminal Justice Purposes, Fiscal Year 2021",National Institute of Standards and Technology,,DJO-NIJ-22-RO-0002,"$400,000",Open
2023,An Assessment of Dual System Data and Practices Capacity across Juvenile Justice and Child Welfare Systems,NIJ FY23 Research on Juvenile Justice Topics,CAL STATE LA UNIVERSITY AUXILIARY SERVICES INC,CA,15PNIJ-23-GG-02411-TITL,"$2,000,000",Open
2023,An Evaluability Assessment of the Not In Our Town Hate and Bias Action Teams Model,NIJ FY23 Research and Evaluation on Hate Crimes,"DEVELOPMENT SERVICES GROUP, INC",MD,15PNIJ-23-GG-05492-MUMU,"$686,997",Open
2023,An Examination of the Law Enforcement Role in Implementing Extreme Risk Protection Orders,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,POLICE EXECUTIVE RESEARCH FORUM,DC,15PNIJ-23-GG-02399-BSCI,"$425,304",Open
2023,An Image Analysis Framework for Objective Color Interpretation of Seized Drug Tests,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-04210-SLFO,"$392,196",Open
2023,Analytical Challenges with Proliferating THC Analogues,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-23-GG-01421-COAP,"$726,360",Open
2023,Assessing Solvability Factors in Missing Person Cases: A Mixed-Method Approach,NIJ FY23 Graduate Research Fellowship,BOARD OF REGENTS OF NEVADA SYSTEM OF HIGHER EDUCATION,NV,15PNIJ-23-GG-01941-RESS,"$110,998",Open
2023,Assessing the Effectiveness of the Second Chance Act Grant Program through a Phased Evaluation Approach Using an Implementation Science Mixed Methods Approach,,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC,GA,2020-CZ-BX-0014,"$320,000",Open
2023,Audio Deepfake Detection for Forensics and Security,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF ROCHESTER,NY,15PNIJ-23-GG-01933-RESS,"$64,003",Open
2023,Beyond Suspect Identification: Fingerprint Aging with Machine Learning and Multidimensional Chemical Analysis,NIJ FY23 Graduate Research Fellowship,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IA,15PNIJ-23-GG-01950-RESS,"$111,000",Open
2023,Building Better Indigent Defense Systems,NIJ FY23 Research and Evaluation on the Administration of Justice: Advancing Access to Justice 60 Years after Gideon,SOUTHERN METHODIST UNIVERSITY,TX,15PNIJ-23-GG-02234-RESS,"$800,000",Open
2023,Building Equity in Objective Prison Classification: A Model for Reducing Racial and Ethnic Disparities,NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,MA,15PNIJ-23-GG-01363-NIJB,"$599,976",Open
2023,California: A Decade of Decarceration,NIJ FY23 Graduate Research Fellowship,SAM HOUSTON STATE UNIVERSITY,TX,15PNIJ-23-GG-01938-RESS,"$32,203",Closed
2023,Can Law Enforcement Training Address Racial and Ethnic Disproportionality? An Experimental Evaluation of Effective Youth Interactions,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,15PNIJ-23-GG-05491-RESS,"$999,996",Open
2023,Cannabis liberalization policies and trends in cannabis-related school-based discipline: Examining sociodemographic disparities in Massachusetts,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF MASSACHUSETTS,MA,15PNIJ-23-GG-01954-TITL,"$111,000",Open
2023,Capturing nuclear DNA from hair shafts,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,GEORGE WASHINGTON UNIVERSITY (THE),DC,15PNIJ-23-GG-04209-DNAX,"$413,504",Open
2023,Caring Connections for Youth: Evaluation of a Countywide Pre-Arrest Diversion Initiative to Reduce Racial/Ethnic Disparities,NIJ FY23 Research on Juvenile Justice Topics,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,15PNIJ-23-GG-02410-TITL,"$866,309",Open
2023,"Climate, Culture, and Correction Officer Wellness",NIJ FY23 Research and Evaluation on Correctional Culture and Climate,SUFFOLK UNIVERSITY,MA,15PNIJ-23-GG-06104-RESS,"$960,132",Open
2023,Community-Led Learning: A Collaborative Approach to Training and Technical Assistance for Violent Crime Problem Analyses,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-23-GG-04270-MUMU,"$1,991,949",Open
2023,Comparison of Examiner Conclusions with Score-based Likelihood Ratios for Cartridge Case Evidence,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,National Institute of Standards and Technology,,DJO-NIJ-24-RO-0002,"$409,578",Open
2023,"Comprehensive / Holistic Public Safety Approach using research, analysis and evaluation, of problem nature codes in the City of Minneapolis for Alternative Response development.",NIJ FY 2023 Invited to Apply — Byrne Discretionary Community Project Funding/Byrne Discretionary Grants Program,CITY OF MINNEAPOLIS,MN,15PNIJ-23-GG-00271-BRND,"$2,500,000",Open
2023,Comprehensive Evaluation of Kinetic and Thermodynamic Approaches to Predict Evaporation of Ignitable Liquids for Fire Debris Applications,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,MICHIGAN STATE UNIVERSITY,MI,15PNIJ-23-GG-04231-RESS,"$262,678",Open
2023,Criminal Justice Technology Testing and Evaluation Center,NIJ FY23 Criminal Justice Technology Testing and Evaluation Center,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GK-00931-NIJB,"$3,500,000",Open
2023,Data and Dashboards: Research and Enhancements to Ensure Mecklenburg County’s Criminal Justice System is a Leader in Data-Driven Decision Making,NIJ FY 2023 Invited to Apply — Byrne Discretionary Community Project Funding/Byrne Discretionary Grants Program,MECKLENBURG COUNTY,NC,15PNIJ-23-GG-00272-BRND,"$1,000,000",Open
2023,Democratizing investigative genetic genealogy,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,THE UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,TX,15PNIJ-23-GG-04213-DNAX,"$759,008",Open
2023,Developing a Portable and Fast Opioid Assessment Tool for Improved Field Decision-Making,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,OAKLAND UNIVERSITY,MI,15PNIJ-23-GG-04225-RESS,"$308,002",Open
2023,Developing a Strategy to Evaluate Urban Violence Prevention and Intervention Ecosystems: A Case Study of Boston,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,VA,15PNIJ-23-GG-04266-CVIP,"$983,482",Open
2023,Developing and Validating Standards for Dental Cementum Age-at-Death and Season-of-Death Estimation,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,TX,15PNIJ-23-GG-04229-SLFO,"$467,325",Open
2023,Development of a colorimetric breath analyzer for THC,NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-22-GG-04437-RESS,"$245,592",Past Project Period End Date
2023,Development of a Stable Matrix-Matched Standard for Molecular and Elemental Analysis of Hair in Forensic Toxicology,NIJ FY23 Graduate Research Fellowship,THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,FL,15PNIJ-23-GG-01945-RESS,"$110,966",Open
2023,Development of computational methods for genetic identification and kinship analysis of forensic samples,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF CALIFORNIA SANTA CRUZ,CA,15PNIJ-23-GG-01948-RESS,"$111,000",Open
2023,Developmental Validation of a Novel Multi-analyte Recovery Method for Trace Biological Samples,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,WV,15PNIJ-23-GG-04207-DNAX,"$494,268",Open
2023,Domestic Terrorism Targeting America’s Political Elites,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,UNIVERSITY OF ILLINOIS,IL,15PNIJ-23-GG-01385-DOMR,"$751,254",Open
2023,Elder Abuse Survivor Equity (EASE) Study: National Longitudinal Trajectories and Translation for Practitioners and the Public,"NIJ FY23 Research on the Abuse, Neglect, and Financial Exploitation of Older Adults",NATIONAL OPINION RESEARCH CENTER,IL,15PNIJ-23-GG-02625-MUMU,"$1,499,885",Open
2023,Empirical Analysis of Saw Mark Characteristics in Human Bone: Meeting Forensic Standards in Dismemberment Cases,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,DES MOINES UNIVERSITY OSTEOPATHIC MEDICAL CENTER,IA,15PNIJ-23-GG-04215-SLFO,"$495,637",Open
2023,Evaluating Processes and Outcomes of Housing Models for Victims of Human Trafficking,NIJ FY23 Research and Evaluation on Trafficking in Persons,HARVARD COLLEGE PRESIDENT & FELLOWS OF,MA,15PNIJ-23-GK-01928-HT,"$654,195",Open
2023,Evaluating the reliability and accuracy of multiple geophysical methods in the search for clandestine graves,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,UNIVERSITY OF TENNESSEE,TN,15PNIJ-23-GG-04226-SLFO,"$351,078",Open
2023,Evaluation of a Healing-Centered Community-Wide Approach to Addressing Firearm Violence in New Orleans,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",THE ADMINISTRATORS OF TULANE EDUCATIONAL FUND,LA,15PNIJ-23-GG-04267-CVIP,"$1,250,000",Open
2023,Evaluation of cell capture and collection from bone,NIJ FY23 Graduate Research Fellowship,VIRGINIA COMMONWEALTH UNIVERSITY,VA,15PNIJ-23-GG-01944-RESS,"$55,488",Past Project Period End Date
2023,Evaluation of Culture and Climate Effects in the Virginia Department of Corrections Cognitive Communities,NIJ FY23 Research and Evaluation on Correctional Culture and Climate,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-06103-RESS,"$860,438",Open
2023,Evaluation of Target Enrichment for SNP Genotyping of Skeletal Remains,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,"BODE CELLMARK FORENSICS, INC.",VA,15PNIJ-23-GG-04224-RESS,"$659,287",Open
2023,Evaluation of the California Human Trafficking Victim Assistance Grant Program,NIJ FY23 Research and Evaluation on Trafficking in Persons,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01926-HT,"$799,859",Open
2023,Evaluation of the Luxon Ion Source for Rapid Screening in Forensic Laboratories,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01419-RESS,"$319,172",Open
2023,"Examining the Impacts of Body-Worn Cameras on Correctional Culture, Climate, and the Well-Being of Staff and Incarcerated Persons",NIJ FY23 Research and Evaluation on Correctional Culture and Climate,THE CNA CORPORATION,VA,15PNIJ-23-GG-06102-FSAX,"$874,312",Open
2023,Expanding Mental Health Diversion Opportunities: A Prospective Evaluation of the Los Angeles County Intake Booking Diversion Program,"NIJ FY 2023 Invited to Apply - Research and Evaluation in Safety, Health, and Wellness in the Criminal Justice System",JUSTICE INNOVATION INC.,NY,15PNIJ-23-AG-03563-RESS,"$754,209",Open
2023,Experimental and numerical investigations for the development and validation of thermo-chemistry models and property databases for selected wall lining materials under fire exposure,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,EASTERN KENTUCKY UNIVERSITY,KY,15PNIJ-23-GG-04204-RESS,"$290,289",Open
2023,Exploring how survivor perspectives and priorities are reflected in the use and implementation of Extreme Risk Protective Orders to address intimate partner violence,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-02404-BSCI,"$579,986",Open
2023,"Exploring Officer Patrol Behaviors Using Automated Vehicle Locator and Body-Worn Camera Data in Kansas City, Missouri","NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",NORTHEASTERN UNIVERSITY,MA,15PNIJ-23-GG-05490-RESS,"$862,804",Open
2023,Exploring the Impact of Station Dog Programs on Agency Wellness and Community Relationships,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",THE CNA CORPORATION,VA,15PNIJ-23-GG-05501-RESS,"$648,166",Open
2023,Extreme Risk Protection Orders in Washington State and their Impact on Firearm-Related Arrests and Convictions,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF WASHINGTON,WA,15PNIJ-23-GG-01935-NONF,"$166,500",Open
2023,"Extreme Risk Protection Orders, Leakage, and Social Networks: The Legislative, Behavioral, and Social Contexts Surrounding Mass Public Shooting Incidents and Plots",NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,UNIVERSITY OF MASSACHUSETTS LOWELL,MA,15PNIJ-23-GG-02408-BSCI,"$985,776",Open
2023,FIU - Forensic Technology Center of Excellence,,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-21-GK-02191-RESS,"$300,000",Open
2023,"Forensic Technology Center of Excellence, Fiscal Year 2021",,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-21-GK-02192-MUMU,"$2,200,000",Open
2023,"Funding Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering, and Medicine","NIJ FY 2023 Invited to Apply – Funding Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering, and Medicine",NATIONAL ACADEMY OF SCIENCES,DC,15PNIJ-23-GG-03573-NIJB,"$250,000",Open
2023,Houston Police Department’s Domestic Abuse Response Team (D.A.R.T.): An Outcome Evaluation of an Innovative Approach to a Persistent Problem,NIJ FY23 Research and Evaluation of Services for Victims of Crime,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01929-NONF,"$659,300",Open
2023,Impact of Relic DNA on Forensic Microbiome Applications in Criminal Investigations,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,UNIVERSITY OF TENNESSEE,TN,15PNIJ-23-GG-04205-RESS,"$229,454",Open
2023,Implementation Evaluation of Hate Crime Task Forces,NIJ FY23 Research and Evaluation on Hate Crimes,THE URBAN INSTITUTE,DC,15PNIJ-23-GG-05489-HATE,"$995,936",Open
2023,"Implementation of NPS Discovery – An Early Warning Systems for Novel Drug Intelligence, Surveillance, Monitoring, Response, and Forecasting using Drug Materials and Toxicology Populations in the US",NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,THE FREDRIC RIEDERS FAMILY RENAISSANCE FOUNDATION,PA,15PNIJ-22-GG-04434-MUMU,"$492,810",Past Project Period End Date
2023,Internal Affairs Complaint Investigations: A Multi-Site Comparison,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",UNIVERSITY OF MASSACHUSETTS LOWELL,MA,15PNIJ-23-GG-05497-RESS,"$907,011",Open
2023,Life-course and Intergenerational Effects of Crime and Criminal Justice Involvement: Identifying Risks and the Search for Resilience,NIJ FY 2023 Invited to Apply - Longitudinal Research on Delinquency and Crime,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-AG-01491-MUMU,"$1,372,994",Open
2023,Losing Sleep and Losing Control: The Impact of Subjective and Objective Sleep on the Problem Behavior and Mental Health of Justice-Involved Young Adults,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF CALIFORNIA IRVINE,CA,15PNIJ-23-GG-01946-RESS,"$166,500",Open
2023,Mapping the Continuum of Support for Violent Extremism in the United States,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-01383-DOMR,"$1,192,220",Open
2023,Measuring the Impact of Victim Services,,RESEARCH TRIANGLE INSTITUTE,NC,2019-MU-MU-K026,"$99,900",Past Project Period End Date
2023,Mechanics of Retinal Hemmorhage in Abusive Head Trauma,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,UNIVERSITY OF UTAH,UT,15PNIJ-23-GG-04211-SLFO,"$604,409",Open
2023,Meeting National Safety Council Recommendations: Accurate Rapid Tests and Laboratory Confirmation Procedures for Fentanyl and Prevalent Opioids in Oral Fluid,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,"9 DELTA ANALYTICAL, LLC",CA,15PNIJ-23-GG-04233-RESS,"$434,500",Past Project Period End Date
2023,"Meeting the Ongoing, Urgent, Unmet Needs of Uvalde Residents After the Robb Elementary School Shooting",NIJ FY 2023 Invited to Apply - University of Texas at Austin Developing More Effective Services and Programs for Victims of Mass Shootings,UNIVERSITY OF TEXAS AT AUSTIN,TX,15PNIJ-23-GG-04105-AERX,"$1,000,000",Open
2023,Mental Health in the Criminal Justice System-The Effect of Mandating Treatment for Convicted Individuals,NIJ FY23 Graduate Research Fellowship,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,15PNIJ-23-GG-01942-RESS,"$25,655",Closed
2023,Military Sexual Trauma Experiences of Female Veterans in Michigan,NIJ FY23 Graduate Research Fellowship,MICHIGAN STATE UNIVERSITY,MI,15PNIJ-23-GG-01953-NONF,"$116,692",Open
2023,Mitigating demographic bias in forensic speaker identification,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,SRI INTERNATIONAL,CA,15PNIJ-23-GG-04220-RESS,"$553,851",Open
2023,Nanoparticle-Decorated Micropillars As Integrated Raman Spectroscopy and Mass Spectrometry Substrates for Quantitative and High-Throughput Toxicology Drug Analysis,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04235-RESS,"$199,676",Open
2023,Networks and Pathways of Violent Extremism: Effectiveness of Dis/Misinformation Campaigns,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,CLEMSON UNIVERSITY,SC,15PNIJ-23-GG-01381-DOMR,"$953,203",Open
2023,New Age Therapeutics: Development and Validation of an Analytical Workflow for the Analysis of Psychedelics in Biological Matrices,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,COMMONWEALTH OF VIRGINIA DEPARTMENT OF FORENSIC SCIENCE,VA,15PNIJ-23-GG-01426-RESS,"$441,886",Open
2023,Next Generation Emergency Networks,NIJ FY23 Graduate Research Fellowship,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,VA,15PNIJ-23-GG-01949-RESS,"$166,500",Open
