Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,Child-Friendly Visits in Jail,NIJ FY24 Graduate Research Fellowship,UNIVERSITY OF WISCONSIN SYSTEM,WI,15PNIJ-24-GG-01570-RESS,"$119,999",Open
2024,Collaborative Strategies in Safeguarding Children: A Community-Centric Approach to Overdose Response,NIJ FY24 Research on Law Enforcement Responses to Opioid Overdoses,"OHIO STATE UNIVERSITY, THE",OH,15PNIJ-24-GG-00752-MUMU,"$985,527",Open
2024,Criminal Justice Technology Testing and Evaluation Center,NIJ FY24 Invited to Apply - Criminal Justice Technology Testing and Evaluation Center,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GK-00931-NIJB,"$3,150,000",Open
2024,Data-driven Prosecution Practices: Exploring the Implementation and Impact of Plea Tracking,"NIJ FY24 Research and Evaluation on the Administration of Justice: Prosecution Practice, Justice, Case Tracking, and Workforce",RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-01787-RESS,"$769,955",Open
2024,Defining the Properties of Osseointegrated and Ingrowth Bone Around Orthopedic Medical Devices and Their Effect on Fracture Risk in Elderly Populations:  A Forensic Anthropological Perspective,NIJ FY24 Graduate Research Fellowship,TEXAS STATE UNIVERSITY,TX,15PNIJ-24-GG-01583-RESS,"$180,000",Open
2024,Development of double casts for the validation of three-dimensional imaging systems for firearm forensics,NIJ FY24 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,UNIVERSITY OF CENTRAL OKLAHOMA,OK,15PNIJ-24-GG-01553-RESS,"$205,090",Open
2024,"Development of new cocaine hair testing guidelines: investigation of decontamination protocols, damage/adulteration evaluation, and cosmetic treatment impact",NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-24-GG-03852-SLFO,"$185,870",Open
2024,Dialogue that Works: Examining Police Communication Strategies and Citizen Compliance,NIJ FY24 Field-Initiated Action Research Partnerships,ARIZONA STATE UNIVERSITY,AZ,15PNIJ-24-GG-05458-NIJB,"$399,881",Open
2024,Differentiation of Hemp and Marijuana Through Ion Complexation with Copper Phosphine Complexes,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,SAM HOUSTON STATE UNIVERSITY,TX,15PNIJ-24-GG-03858-RESD,"$216,763",Open
2024,Disaggregated Estimates of the Prevalence of Trafficking in Humans (DEPTH),NIJ FY24 Research and Evaluation on Trafficking in Persons,COLORADO MESA UNIVERSITY,CO,15PNIJ-24-GG-01747-HT,"$2,495,790",Open
2024,DNA mixture interpretation of SNP sequencing data for investigative genetic genealogy,NIJ FY24 Graduate Research Fellowship,THE REGENTS OF THE UNIV. OF COLORADO,CO,15PNIJ-24-GG-01568-RESS,"$120,000",Open
2024,Does Training Police Officers In Brazilian Jiu-Jitsu Improve Use Of Force Outcomes? An Experimental Evaluation With Systematic Social Observation in the Colorado Springs Police Department,NIJ FY24 Research and Evaluation of Policing Practices,POLICE EXECUTIVE RESEARCH FORUM,DC,15PNIJ-24-GG-02567-RESS,"$1,325,889",Open
2024,Droplet digital PCR: assessing the increased performance for DNA quantification in forensic science,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,NORTH CAROLINA STATE UNIVERSITY,NC,15PNIJ-24-GG-03854-SLFO,"$422,235",Open
2024,Early Intervention for Victims of Crime: Evaluation of Skills for Psychological Recovery,NIJ FY24 Research and Evaluation of Services for Victims of Crime,THE MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,15PNIJ-24-GG-01743-NONF,"$741,523",Open
2024,Effects of insects and soils on the assembly of universal microbial decomposers and prediction of postmortem interval,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,COLORADO STATE UNIVERSITY,CO,15PNIJ-24-GG-03839-RESD,"$481,616",Open
2024,Enhancing Equitable Forensic Identification:  An Evaluation of Pelvic Morphology for Parity Detection and Age Estimation in Unidentified Skeletal Remains,NIJ FY24 Graduate Research Fellowship,TEXAS STATE UNIVERSITY,TX,15PNIJ-24-GG-01579-RESS,"$180,000",Open
2024,Enhancing Risk-Need-Responsivity Implementation: An Evidence-based System for Case Management Support,NIJ FY24 Evaluating Strategies to Advance the Implementation of Evidence-Based Policies and Practices,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,MA,15PNIJ-24-GG-02870-MUMU,"$1,445,599",Open
2024,Enhancing the evidentiary value of textile fibers with a combination of fluorescence microscopy and micro spectrophotometry,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,FL,15PNIJ-24-GG-03850-NIJB,"$412,786",Open
